Name,Model,CPU,RAM,OS,Login,Usage
peng-srv1,Dell PowerEdge R7515,AMD EPYC 7402P 24C,256GB,Ubuntu 22.04,E3DA,Web server
peng-srv2,Dell PowerEdge T640,Intel Xeon Silver 4210 2x10C,384GB,Ubuntu 22.04,E3DA,Computing/Development server
peng-srv3,Dell PowerEdge T640,Intel Xeon Silver 4114 2x10C,384GB,RHEL 7,E3DA,Computing/CAD server
peng-srv4,Dell PowerEdge T640,Intel Xeon Silver 4110 2x8C,192GB,Ubuntu 22.04,E3DA,Multi-purpose server
peng-srv5,Dell PowerEdge R7415,AMD EPYC 7401P 24C,128GB,Ubuntu 22.04,E3DA,File server
peng-srv6,Dell PowerEdge R540,Intel Xeon Silver 4210 2x10C,192GB,RHEL 7,E3DA,Computing/CAD Server
peng-srv7,Dell Precision T5820,Intel Xeon W-2255 10C,128GB,Ubuntu 22.04,E3DA,GPU Server
peng-srv8,Dell Precision T5820,Intel Xeon W-2255 10C,128GB,RHEL 8,E3DA,GPU Server
peng-srv9,Dell PowerEdge T430,Intel Xeon E5 2650 v4 2x12C,384GB,Ubuntu 22.04,E3DA,Backup server
peng-srv10,Dell PowerEdge R7515 ,AMD EPYC 7443P 24C,256GB,Ubuntu 22.04,E3DA,Computing/File Server
VLSI,Dell PowerEdge R730,Intel Xeon E5 2630 v4 2x10C,160GB,RHEL 7,UARK,Teaching server
